,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
984,Bradly Nadeau,CAR,L,1,19.133333333333,0,0,0,0,0,,3,0.0,0.32,7,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
985,Akito Hirose,VAN,D,3,36.316666666667,0,0,0,0,0,0.0,0,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,
986,Jason Polin,COL,R,7,51.966666666667,1,0,0,0,1,100.0,6,16.67,0.28,8,7,2,1,0,2,2,1,1,0,0,1,0,0,14,10,1,1,1,50.0
987,Sam Malinski,COL,D,23,327.18333333333,3,7,1,6,10,52.63,31,9.68,1.1,74,49,18,3,3,5,6,3,3,0,0,3,10,8,14,32,22,0,0,
988,Ondrej Pavel,COL,C,2,12.2,0,0,0,0,0,,3,0.0,0.38,5,4,4,2,0,1,2,1,1,0,0,0,0,1,1,5,0,3,6,33.33
989,Cole McWard,VAN,D,1,9.0833333333333,0,0,0,0,0,,1,0.0,0.14,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
990,Uvis Balinskis,FLA,D,26,366.63333333333,1,2,1,1,3,30.0,22,4.55,1.52,45,29,13,4,0,4,8,4,4,0,0,6,11,5,33,44,15,0,0,
991,Jiri Smejkal,OTT,L,20,189.56666666667,1,1,1,0,2,66.67,10,10.0,2.46,31,24,17,10,0,5,4,2,2,0,0,2,7,6,32,17,13,11,16,40.74
992,Nikolas Matinpalo,OTT,D,4,28.016666666667,0,0,0,0,0,0.0,2,0.0,0.02,7,3,2,0,0,0,0,0,0,0,0,0,1,0,4,7,2,0,0,
993,Waltteri Merela,T.B,C,19,186.5,1,0,0,0,1,25.0,17,5.88,1.42,28,19,20,10,2,2,4,2,2,0,0,4,2,2,32,32,6,1,3,25.0
994,Patrik Koch,ARI,D,1,9.3333333333333,0,0,0,0,0,0.0,1,0.0,0.01,4,1,0,0,1,0,10,1,0,0,1,0,0,0,4,2,1,0,0,
995,Collin Graf,S.J,R,7,116.16666666667,0,2,0,2,2,66.67,7,0.0,0.67,14,11,9,2,1,0,0,0,0,0,0,1,1,5,5,7,7,0,0,
