,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
615,Henri Jokiharju,BUF,D,74,1404.5166666667,3,17,9,8,20,31.25,84,3.57,3.6,197,120,54,7,1,11,24,12,12,0,0,6,29,18,92,120,106,0,0,
616,Miro Heiskanen,DAL,D,71,1742.3666666667,9,45,22,23,54,45.38,162,5.56,10.62,401,239,117,13,6,47,36,13,12,0,1,20,36,33,56,154,97,0,0,
617,Martin Necas,CAR,C,77,1336.4333333333,24,29,17,12,53,67.95,231,10.39,19.92,438,323,185,66,4,39,42,21,21,0,0,24,52,23,77,114,31,47,91,34.06
618,Timothy Liljegren,TOR,D,55,1081.4833333333,3,20,8,12,23,41.82,62,4.84,2.97,160,96,54,7,3,18,16,8,8,0,0,6,40,10,92,157,116,0,0,
619,Dylan Samberg,WPG,D,78,1218.8,1,17,10,7,18,42.86,77,1.3,2.16,182,110,35,2,2,13,43,16,14,1,1,8,36,27,65,123,111,0,0,
620,Pierre-Olivier Joseph,PIT,D,52,784.4,2,9,5,4,11,31.43,42,4.76,1.35,112,63,29,1,3,11,14,7,7,0,0,4,20,22,47,43,44,0,0,
621,Josh Norris,OTT,C,50,881.86666666667,16,14,3,11,30,62.5,115,13.91,11.43,208,154,120,48,6,17,22,11,11,0,0,17,27,22,86,73,30,328,301,52.15
622,Ryan Poehling,PHI,C,77,1154.6666666667,11,17,13,4,28,63.64,111,9.91,12.43,190,153,103,67,9,17,6,3,3,0,0,13,11,23,62,87,101,461,477,49.15
623,Cale Makar,COL,D,77,1907.2666666667,21,69,28,41,90,59.6,231,9.09,15.59,539,352,178,23,13,38,16,8,8,0,0,25,42,70,37,30,148,0,0,
624,Ian Mitchell,BOS,D,13,199.0,0,2,0,2,2,18.18,11,0.0,0.38,21,13,3,1,3,2,10,5,5,0,0,0,1,0,3,23,13,0,0,
625,Erik Brannstrom,OTT,D,76,1260.9166666667,3,17,7,10,20,41.67,77,3.9,4.64,175,106,50,10,8,13,36,14,13,0,1,4,52,22,46,102,110,0,0,
626,Alexandre Texier,CBJ,C,78,1184.1,12,18,11,7,30,60.0,109,11.01,10.81,235,157,108,47,9,24,38,19,19,0,0,11,16,21,57,32,36,6,13,31.58
627,Cameron Crotty,ARI,D,1,10.05,0,0,0,0,0,,0,,0.02,4,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,
628,Filip Chytil,NYR,C,10,159.3,0,6,4,2,6,66.67,22,0.0,1.89,40,33,18,7,0,2,4,2,2,0,0,1,2,3,4,14,4,29,38,43.28
629,Nick DeSimone,CGY,D,23,276.96666666667,1,4,1,3,5,50.0,19,5.26,0.62,47,28,13,0,2,6,2,1,1,0,0,1,9,2,15,35,21,0,0,
630,Nick DeSimone,N.J,D,11,181.38333333333,1,1,0,1,2,20.0,9,11.11,0.29,22,10,5,1,0,6,2,1,1,0,0,0,4,1,14,21,21,0,0,
631,Alex Iafallo,WPG,L,82,1255.7,11,16,10,6,27,45.76,120,9.17,15.78,249,195,143,79,8,17,6,3,3,0,0,10,20,28,43,72,67,8,17,32.0
632,David Kampf,TOR,C,78,1051.9833333333,8,11,4,7,19,57.58,79,10.13,7.43,135,102,67,34,9,13,18,9,9,0,0,9,16,26,84,121,29,469,453,50.87
633,Neal Pionk,WPG,D,82,1707.9666666667,5,28,6,22,33,37.93,146,3.42,6.26,307,212,63,8,8,23,63,30,29,1,0,18,55,34,221,164,118,0,0,
634,Calle Rosen,STL,D,6,75.983333333333,0,1,0,1,1,100.0,5,0.0,0.18,11,8,2,1,0,1,2,1,1,0,0,0,6,0,2,7,7,0,0,
635,Jan Rutta,S.J,D,69,1360.7166666667,5,14,6,8,19,50.0,69,7.25,3.71,202,103,45,6,4,20,38,15,14,0,1,6,16,14,69,64,110,0,0,
636,Gustav Lindstrom,ANA,D,32,494.46666666667,0,6,5,1,6,26.09,14,0.0,0.46,48,24,12,1,0,5,18,9,9,0,0,0,7,6,54,54,40,0,0,
637,Gustav Lindstrom,MTL,D,14,213.93333333333,3,1,0,1,4,57.14,15,20.0,1.33,25,21,8,2,2,0,6,3,3,0,0,1,9,1,9,21,23,0,0,
638,Eetu Luostarinen,FLA,C,82,1306.7666666667,12,15,10,5,27,55.1,119,10.08,17.88,236,184,135,73,10,22,26,13,13,0,0,22,28,51,129,161,56,96,83,53.63
639,Fabian Zetterlund,S.J,L,82,1546.2,24,20,17,3,44,49.44,204,11.76,24.24,427,313,224,90,11,28,33,15,14,1,0,14,32,43,120,92,71,28,57,32.94
640,Johnathan Kovacevic,MTL,D,62,1024.1333333333,6,7,4,3,13,29.55,46,13.04,3.19,150,78,49,12,4,19,42,18,16,2,0,10,50,9,75,76,83,0,0,
641,Jacob Bryson,BUF,D,36,528.36666666667,1,7,4,3,8,42.11,15,6.67,0.39,34,22,8,0,0,3,8,4,4,0,0,4,7,4,17,95,40,0,0,
642,Emil Bemstrom,CBJ,R,32,413.2,5,6,4,2,11,57.89,49,10.2,4.79,102,77,49,16,2,4,10,5,5,0,0,1,6,3,24,40,21,6,7,46.15
643,Emil Bemstrom,PIT,C,24,210.65,3,2,2,0,5,50.0,34,8.82,4.26,55,47,32,19,5,8,2,1,1,0,0,2,7,7,12,21,13,0,3,0.0
644,Drake Batherson,OTT,R,82,1490.2166666667,28,38,29,9,66,72.53,196,14.29,24.53,391,295,215,103,15,32,42,17,16,0,1,13,40,46,98,100,33,38,55,40.86
645,Jacob Peterson,S.J,C,6,79.5,0,0,0,0,0,0.0,3,0.0,0.74,5,5,5,2,0,1,2,1,1,0,0,2,0,0,6,4,5,15,33,31.25
646,Noah Cates,PHI,L,59,814.03333333333,6,12,6,6,18,64.29,78,7.69,8.82,157,113,84,41,5,23,0,0,0,0,0,9,5,33,52,71,35,147,183,44.55
647,Sebastian Aho,NYI,D,58,950.7,2,7,1,6,9,32.14,48,4.17,2.03,124,77,30,2,1,15,12,6,6,0,0,13,14,7,42,73,72,0,0,
648,Marián Studenic,SEA,R,2,16.216666666667,0,0,0,0,0,,1,0.0,0.17,2,2,2,2,0,0,2,1,1,0,0,0,0,0,4,2,0,0,0,
649,Olle Lycksell,PHI,R,18,179.03333333333,1,4,3,1,5,83.33,29,3.45,3.72,45,39,31,23,0,8,6,3,3,0,0,0,3,1,4,19,4,2,3,40.0
650,Nick Perbix,T.B,D,77,1315.2833333333,2,22,9,13,24,35.82,57,3.51,2.88,150,87,36,5,2,18,10,5,5,0,0,12,26,29,80,119,114,0,0,
651,Cole Guttman,CHI,C,27,340.73333333333,4,4,1,3,8,88.89,50,8.0,4.36,85,66,49,18,3,7,7,2,1,1,0,7,10,14,11,13,14,60,60,50.0
652,Sammy Walker,MIN,C,4,37.45,0,0,0,0,0,,3,0.0,0.12,5,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0.0
653,Philip Kemp,EDM,D,1,2.05,0,0,0,0,0,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
654,Alexey Toropchenko,STL,R,82,1026.8,14,7,5,2,21,72.41,114,12.28,14.42,179,146,120,74,10,18,30,15,15,0,0,18,13,21,165,105,55,0,3,0.0
655,Morgan Barron,WPG,C,80,839.75,11,7,3,4,18,60.0,94,11.7,9.5,149,121,79,38,10,9,23,10,9,1,0,9,10,26,122,78,45,62,72,46.27
656,Carson Meyer,CBJ,R,14,127.7,1,1,1,0,2,66.67,10,10.0,1.44,23,15,8,5,2,2,2,1,1,0,0,2,2,4,37,18,2,0,0,
657,Grant Hutton,NYI,D,2,17.533333333333,0,0,0,0,0,0.0,0,,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,
658,Sean Walker,COL,D,18,323.08333333333,4,3,3,0,7,43.75,41,9.76,1.84,77,53,19,6,2,3,16,6,6,0,0,2,3,6,32,32,29,0,0,
659,Sean Walker,PHI,D,63,1234.6833333333,6,16,6,10,22,36.07,109,5.5,6.47,234,153,70,13,10,24,34,17,17,0,0,5,22,35,86,118,98,0,0,
660,Mark Kastelic,OTT,C,63,486.63333333333,5,5,1,4,10,66.67,60,8.33,6.59,90,77,61,34,9,13,63,21,14,7,0,21,15,13,126,63,31,190,159,54.44
661,Sean Durzi,ARI,D,76,1726.6833333333,9,32,11,21,41,35.96,142,6.34,8.82,337,203,123,25,7,35,63,26,24,1,1,16,67,22,44,130,160,0,0,
662,Trey Fix-Wolansky,CBJ,R,11,120.86666666667,2,1,1,0,3,50.0,17,11.76,2.13,39,28,18,6,2,10,2,1,1,0,0,0,2,2,11,14,6,0,1,0.0
663,Parker Kelly,OTT,L,80,936.53333333333,8,10,5,5,18,62.07,86,9.3,8.81,179,126,88,37,11,12,30,15,15,0,0,23,20,34,171,132,67,11,35,23.91
664,Pius Suter,VAN,C,67,1038.1666666667,14,15,9,6,29,52.73,105,13.33,15.06,190,146,145,95,7,20,16,8,8,0,0,15,7,31,54,48,23,186,191,49.34
